_id,ciudad,contrato,descripcion,empresa,horario,origen,rating_empresa,requerimientos,salario,titulo,url_oferta
computrabajo_a5db73eb9a1e875bf8c5ea1ac58788f4,"Bogotá, D.C.",Contrato a término fijo,"Nos encontramos en en la búsqueda de personal para ocupar el cargo de Analista de Control y calidad para laborar en Bogotá/ Sector SevillanaEstudios: Profesional, Tecnólogo o técnico en carreras químicas, de alimentos, industriales o  de calidad.Experiencia: Profesional se valida experiencia de practicas, Tecnólogo o Técnico 2 años en cargos relacionadosConocimiento: Plantas de producción industrial, procesos de laboratorio y procedimientos de calidadObjetivo de la vacante: Asegurar la calidad de materias primas, productos terminados y demás materiales, mediante planes de control e inspección y métodos de análisis establecidos, con el fin de aportar al cumplimiento de los parámetros.Horario: Domingo a Domingo con turno rotativo (mañana y tarde) y con día compensatorio entre semanaSalario: $1.485.069 + transporte, + recargos + beneficios extralegalesContrato: Termino fijo directo con la compañía (Renovable)",Aplicar,Tiempo Completo,computrabajo,,"Educación mínima: Universidad / Carrera Profesional
1 año de experiencia
Conocimientos: Calidad
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.485.069,00 (Mensual)",Analista Control Calidad - Sevillana,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-control-calidad-sevillana-en-bogota-dc-47EC5EA6D626ED3D61373E686DCF3405#lc=ListOffers-Score-8
computrabajo_1975bb90d7fed37953ab975f62a976a8,"Bogotá, D.C.",Contrato de Obra o labor,"Trabajar unico  turno de lunes a sabado de 6:00 a.m. a 2:p.m.. Funciones: Ensamblar, pegar, contar, empacar, sellar mercancias.Personal femenino y masculino. INDISPENSDABLE ANEXAR HOJA DE VIDA",Lenox  Ltda,Tiempo Completo,computrabajo,"4,06","Educación mínima: Bachillerato / Educación Media
1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.160.000,00 (Mensual)",Operarias / operarios producción,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarias-operarios-produccion-en-bogota-dc-567921FDF449EAB761373E686DCF3405#lc=ListOffers-Score-9
computrabajo_859d903bb8564f69182977cab473b7bc,"Bogotá, D.C.",Contrato de Obra o labor,"Importante empresa del sector industrial, se encuentra en búsqueda de mujer Técnica o tecnóloga en operaciones logísticas, administrativas o carreras afines como auxiliar de alistamiento con experiencia mínimo de 6 meses en despacho  abastecimiento, picking y packing, distribución, digitación y manejo de inventarios, atención al detalle, con conocimiento de materiales de metalmecánica. manejo de Excel intermedio.Contrato: Obra LaborHorario: Lunes a viernes de 07:00 am 05:00 pm., sábados medio día (Disponibilidad para realizar horas extras diarias)Salario: $1.160.000 + $140.000 (aux transporte) + prestaciones de ley",ACTIVOS S A S,Tiempo Completo,computrabajo,"4,21","Educación mínima: Universidad / Carrera técnica
Menos de 1 año de experiencia
Edad: entre 25 y 35 años
","$ 1.300.000,00 (Mensual)",Auxiliar de Alistamiento,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-alistamiento-en-bogota-dc-7709AE481CF5552F61373E686DCF3405#lc=ListOffers-Score-10
computrabajo_c483c752aaa313005bac470aa5836d85,"Bogotá, D.C.",Contrato a término indefinido,"Importante compañía del sector textil se encuentra en búsqueda de Jefe de producción textil, profesional en ingeniería industrial, ingeniería de producción o carreras afines con especialización en producción;  con experiencia mínima de 7 años en cargos similares manejando de satélites, paquete completo y conocimiento en corte, trazo e insumos.Modalidad: Presencial, Sede puente Aranda + disponibilidad para desplazarse a visita de satélites.Salario: 5.000.000  - 7.000.000 dependiendo de la experiencia y estudios.",Adecco Colombia S.A.,Tiempo Completo,computrabajo,"4,32","Educación mínima: Universidad / Carrera Profesional
7 años de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 7.000.000,00 (Mensual)",Jefe de producción textil - Urgente,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-produccion-textil-urgente-en-bogota-dc-61FF44D308F411F561373E686DCF3405#lc=ListOffers-Score-11
computrabajo_f451f8bcf383ec3c6d5c9e5469ed51ba,"Bogotá, D.C.",Contrato a término indefinido,"Somos una empresa BPO, líder en servicios de tecnología, con más de 30 años en el mercado y el mejor equipo de profesionales trabajando en todo el territorio nacional para satisfacer las necesidades de nuestros clientes y crecer juntos. Si cumples con este Skill te invitamos a postularte: Coordinador mesa de ayuda Responsabilidades• Supervisar y coordinar la correcta ejecución de todas las actividades que se realicen para garantizar la solución de incidentes y requerimientos de ofimática• Planear, organizar y controlar los incidentes que se presentan en la gestión diaria.• Generación de informesRequisitos:• Profesional en ingeniería de  sistemas o afines• 1 año de experiencia especifica en el cargo•Excel avanzado y LiderazgoContrato a termino indefinidoHorario: Lunes a viernes 08:00 am a 06:00 pm, sábados medio díaSalario a convenir",ASIC S.A.S.,Tiempo Completo,computrabajo,"4,10","Educación mínima: Universidad / Carrera tecnológica
1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
",,Coordinador de mesa de ayuda conocimientos en ITIL,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-mesa-de-ayuda-conocimientos-en-itil-en-bogota-dc-D3ACBD16601005F161373E686DCF3405#lc=ListOffers-Score-12
computrabajo_73223ae4898a2b1c8656c88bb9f83c05,"Bogotá, D.C.",Contrato a término indefinido,"Importante multinacional solicita para su equipo de trabajo  profesional en Administración de Empresas, Administración hotelera, Negocios Internacionales o afines, con  experiencia mínima de 3 años liderando procesos de compra y negociación con proveedores, Realizar la negociación de insumos, bienes y servicios con proveedores, compra de insumos como , dotacion, insumos desechables, papeleria y epps, de acuerdo con las políticas y procedimientos del área para asegurar la gestión de compra",Aplicar,Tiempo Completo,computrabajo,,"Educación mínima: Universidad / Carrera Profesional
3 años de experiencia
Edad: entre 18 y 49 años
Conocimientos: Microsoft Office
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
",,Comprador/a,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-compradora-en-bogota-dc-D5E470D63DA32D8F61373E686DCF3405#lc=ListOffers-Score-13
computrabajo_9f2636c5829a17857e994d5dbd0d98c6,"Bogotá, D.C.",Contrato a término indefinido,"Nuestro equipo de trabajo requiere contratar profesional en seguridad y salud en el trabajo, con 1 año experiencia reciente ejecutando la implementación, mantenimiento y planes de trabajo de SG-SST, seguimientos, inspecciones e investigaciones a casos de salud por enfermedad común, incidentes o accidentes de trabajo, seguimiento a los planes de acción emitidos por informes de ARL, capacitaciones, charlas y reuniones a personal, medición de indicadores, presentación de auditorías, informes de gestión de SST para reporte a Gerencia y grupos de apoyo de la empresa.Indispensable contar con tarjeta profesional y curso de 50 horas de SST. Manejo intermedio de Excel.Contrato a término indefinido. Salario: 2.000.000 a 2.500.000 (75%) prestacional, según experiencia. Lunes a viernes 48 horas semanales",GRUPO SPIRA SAS,Tiempo Completo,computrabajo,"4,53","Educación mínima: Universidad / Carrera Profesional
1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 2.500.000,00 (Mensual)",Líder en Seguridad y Salud en el Trabajo,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-en-seguridad-y-salud-en-el-trabajo-en-bogota-dc-B54C918FAED1C18761373E686DCF3405#lc=ListOffers-Score-14
computrabajo_8123ad7c343cd11b2abe7d354659f2fe,"Bogotá, D.C.",Contrato de aprendizaje,"Importante empresa del sector financiero requiere estudiantes cuyo periodo académico sean los dos últimos semestres de Tecnología en carreras industriales, financieras o administrativas, para que realice sus practicas. No requiere experiencia pero sí que cuente con las siguientes habilidades:•Capacidad de concentración•Capacidad de análisis y sentido crítico•Capacidad para resolver conflictos•Disposición para atender el cliente•Responsabilidad y recursividad• Capacidad y disposición para el aprendizaje continuoContrato de aprendizaje por seis (6) meses (un periodo de práctica), en el horario de 8:00am a 5:00pm de lunes a viernes y la remuneración mensual es el 100% del salario mínimo.",Aplicar,Tiempo Completo,computrabajo,,"Educación mínima: Universidad / Carrera tecnológica
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.160.000,00 (Mensual)",Aprendiz - Area administrativa y/o Financiera,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-aprendiz-area-administrativa-yo-financiera-en-bogota-dc-1F12A06CC07DBFD961373E686DCF3405#lc=ListOffers-Score-15
computrabajo_5dd61d848ad7703ac673a6b0d95e74a8,"Bogotá, D.C.",Contrato a término indefinido,"Reconocida empresa dedicada a la fabricación de sistemas de escape para la rama automotriz ubicada en Fontibón, se encuentra en la búsqueda de ASESOR COMERCIAL CON MOTO debe contar experiencia mínima de 1 año en ventas empresariales o TAT, ser una persona visionaria, proactiva y dinámica.Alto conocimiento de la ciudad (direcciones, barrios, que se pueda defender sin WAZE o MAPS)Horario: lunes a viernes 07:30am a 05:00pm y sábados de 07:30am a 01:00pmSalario: $1.160.000 + Prestaciones de ley + Comisiones + auxilio de rodamiento.",GARANTIA TEMPORAL LIMITADA,Tiempo Completo,computrabajo,"4,06","Educación mínima: Bachillerato / Educación Media
1 año de experiencia
Conocimientos: Atención al cliente, Gestión de ventas, Ventas
Licencias de conducir: A2
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
",,Asesor comercial con Moto - Sector metalmecánica,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-con-moto-sector-metalmecanica-en-bogota-dc-0465E51CCBD4FF4961373E686DCF3405#lc=ListOffers-Score-16
computrabajo_f8dff979e1a6130ea19edc609ffd1606,"Bogotá, D.C.",Contrato de Obra o labor,"Estamos buscando tecnólogo SST con experiencia en obras de construcción de vivienda, industriales o proyectos, para laborar en sector 20 de julio de la cuidad de Bogotá, contrato directo con la constructora",Aplicar,Tiempo Completo,computrabajo,,"Educación mínima: Universidad / Carrera tecnológica
2 años de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
",,Inspector SST - Bogotá,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-inspector-sst-bogota-en-bogota-dc-87A0702A5B42FE3461373E686DCF3405#lc=ListOffers-Score-17
